"GENE_NAME"	"SEU227"	"SEU235"	"SEU239"	"SLU227"	"SLU235"	"SLU239"
"SUCLG1"	74.5187293182941	79.4851308822717	84.3397173183968	81.3685730157665	75.6739399851645	80.2604954240766
"DNAH6"	2.13738698579453	1.81307324092773	1.9779483423639	2.78845181205863	2.75894572862579	3.05204350533488
"TRABD2A"	74.2289141337796	71.6889159462825	85.5660452906624	73.5841450404361	74.8856697769857	92.4274256142629
"TMSB10"	565.39319808975	469.042047428004	603.867628923699	463.889941733865	583.212462660285	529.735767331367
"KCMF1"	78.6123687995616	89.7471254259227	99.3325657535152	85.0090517703986	82.5533890747249	94.3246418473089
"TCF7L1"	6.55706854964085	6.45454073770272	6.92281919827366	4.95724766588201	7.05860140960105	6.55776915335467
"TGOLN2"	658.894821993745	651.618522789427	686.506310667663	646.649720915875	617.75302996412	722.303214985536
"RETSAT"	35.8284021856066	35.6812813814578	36.3151315658013	33.538878739483	33.6448057036314	30.2729720664297
"ELMOD3"	24.7429713779265	21.1766954540359	20.768457594821	24.4764103502924	22.0715658290063	21.0755977192719
"CAPG"	8.76690933156401	6.12818755433573	7.87223440260833	4.99597616327172	4.29965568097526	4.33060227108327
"MAT2A"	385.635329894624	434.557394385559	464.659624588128	491.619545864893	522.336504310477	453.187216711076
"GGCX"	90.9295141414284	94.4611158523348	90.2340033786412	87.8749605772366	89.5403295563097	89.3341382777749
"VAMP5"	3.00683253933807	2.42951814284316	3.28339424832408	2.3624383407719	3.15308083271519	2.43338603803727
"RNF181"	28.6192494708081	27.8125435158314	25.3968567159525	29.1625585344465	32.4624003913632	27.1796847299417
"USP39"	95.4578763994676	96.3467120228997	100.558893725781	104.644399946978	99.0712329824715	102.944602558322
"C2orf68"	33.5098807094905	35.7900657759134	27.0583333235382	30.5180559430861	33.1073487435095	29.5718269368258
"ATOH8"	4.27477397158906	4.78651335604921	7.08105506566277	3.6017502572424	3.61887686482084	6.55776915335467
"ST3GAL5"	42.3492438371832	58.1271281041431	53.4441642106727	41.9429626730486	51.84668141976	42.6873652435351
"POLR1A"	129.619841274116	124.159255538731	118.914254342918	94.1489771543685	81.442644690473	111.399587944723
"PTCD3"	106.181038226505	105.230770903446	112.624378614201	118.896486986389	109.963694040942	118.905965214601
"IMMT"	182.656020040272	190.082598578863	194.946588623386	184.463833067156	188.719053930806	192.608691485323
"MRPL35"	89.9513878936919	102.293592253143	101.310514095879	105.961168858228	94.9148991575288	102.862114896016
"REEP1"	5.43403470964711	4.78651335604921	4.07457358526964	4.29886321025706	6.27033120142225	4.49557759569597
"KDM3A"	148.349147573366	141.637281581274	161.598379571131	159.600137742967	156.829940963572	166.748809352282
"CHMP3"	113.716233023882	122.853842805263	114.404532122328	109.60164761286	113.546740441755	112.92560969739
"RMND5A"	90.6396989569139	90.7624464408422	88.2956140031246	90.6246838919055	82.3742367546843	93.1285707438669
"KRCC1"	18.801760095379	14.1419712792363	13.9247563302419	22.965998952094	15.6579127715516	16.2088256431974
"THNSL2"	8.2235058605993	5.98314169506151	4.8657529222152	6.89367253536717	7.45273651369044	5.52667337452532
"EIF2AK3"	40.3205375455816	34.7747447609939	33.150414218019	41.2458497200339	38.2669355606798	37.1194480378566
"RPIA"	21.5187774502026	26.2533005286336	24.6847953127015	27.9619751153657	23.1823102132583	24.4988357049854
"MRPS5"	47.3485557700585	50.3671746329724	49.2904726917085	55.7690362411726	53.7815264761988	49.4513535526556
"ZNF514"	15.3602047792692	12.2563751086715	11.1951876177797	15.6463129454401	15.2996081314703	10.6409084375189
"ZNF2"	13.9111288566966	11.2047926289334	11.669895219947	13.7486165733446	11.5015789466088	10.7233960998252
"PROM2"	1.48530282063688	1.1966283390123	0.988974171181951	1.47168290080872	1.25406624028445	0.742388960757132
"KCNIP3"	6.30348026319065	4.78651335604921	4.43060428689514	5.07343315805112	5.44623052923532	4.41308993338962
"FAHD2A"	8.62200173930675	7.14350856925526	8.03047026999745	9.72085284481551	7.81104115377172	6.72274447796736
"ANKRD36C"	2.10116008773022	2.06690349465761	2.01750730921118	1.43295440341902	1.93484505643887	2.26841071342457
"STARD7"	294.416000568681	340.023755603587	314.612463336402	308.278839222038	303.949826180943	330.321843705771
"TMEM127"	69.0122408125183	66.7573567309591	69.0699561153475	62.1592383104737	59.4069093254748	66.2375928319974
"CIAO1"	79.3369067608479	78.5060713321708	76.9421905179558	79.7419761253989	80.5827135542779	80.7966652290679
"SNRNP200"	555.937977694964	516.653350734766	528.310002245398	430.854533460448	448.740731237784	470.055943652724
"ITPRIPL1"	4.70949674836083	3.62614648185546	3.44163011571319	3.29192227812477	3.2964026887477	3.62945714147931
"NCAPH"	141.82830592179	136.016754534398	140.078301606212	135.627197858741	138.305591071371	136.187130467781
"ARID5A"	2.0649331896659	1.26915126864941	1.58235867389112	1.43295440341902	1.11074438425194	1.48477792151426
"KANSL3"	98.3922551426771	79.4488694174532	80.5420565010581	86.0159927025308	82.1234235066274	75.2699918545426
"LMAN2L"	49.1961275713385	52.2527708035372	51.3079800009196	50.7343315805112	46.7587555306059	51.0598629676294
"CNNM4"	22.1346347172959	20.0525900446607	23.1419956056577	19.1318777105134	19.3126201003805	17.3224090843331
